Near the entrance of the * circus tent there was a little man in a canvas chair.,great,striking,hardship,identity
He sat at * end of the long alley_ which was hung with painted signs.,the,crossbars,at,mission
I had no money to see any wonder_ and so had to be * with what was displayed outside.,content,hidden,haze,increasing
It was early in * morning.,the,salary,takes,struggling
The grass before * tents had not yet been trodden down; few persons were about_ and I had the marvels of this fantastic alley to myself.,the,shared,entity,payment
I had advanced slowly along every foot of it_ and now I stood just beyond the roped-off entrance to the big tent_ and the little man in the * chair.,canvas,murmured,though,column
There was something in the * of this man that drew my eye.,appearance,explosion,adequate,considered
He sat in the * as though every muscle were relaxed_ his eyes closed_ his head drooping.,chair,majesty,pirates,sell
Now and then * put up his hand and pressed the fingers over his face.,he,performers,provide,brilliant
It seemed a habit_ as though his face had the sensation * being swollen.,of,wax,child,etching
He had been * for some time.,there,those,began,traced
I had noticed him at the end of the alley * I arrived_ precisely in this posture_ as of one worn out with some exertion.,when,crashing,huge,reply
I was looking at him as I had looked at the painted signs when the canvas of the * tent was thrust up and a man came out.,big,ridiculous,received,shadowing
He was a big young man in the overalls of a mechanic and he had some device in his hand like a dome-shaped * box.,metallic,spoken,thoroughly,intellectual
He * directly to the man in the canvas chair.,went,inactivities,enchantment,by
The little man opened his eyes * moving a muscle of his body.,without,riding,definite,job
Then he put out his hand_ took the metallic device_ rested it on his knee_ flicked a penknife out of his waistcoat pocket_ and with a screw-driver blade took a plate off * the bottom of the thing.,at,knows,less,copies
Then he adjusted something deftly inside_ replaced the * and returned the device to the mechanic.,plate,heavylidded,sentenced,minutely
It had taken only a moment; his fingers had moved with the * of a pianist_ and he had scarcely changed his position.,precision,track,slope,break
I had been greatly interested and had drawn * little closer.,a,files,narrowed,directed
And when I looked up_ the eyes of the big mechanic were on me; he had * hard_ determined face and a sharp_ piercing eye.,a,manipulated,court,quizzical
I felt that he easily summed me up * had the measure of me.,and,emergency,brokenhandled,lately
The * man in the canvas chair spoke as the mechanic turned away.,little,memories,display,beset
\"I don’t know yet_\" * the mechanic.,replied,deal,warned,opportunity
Then * disappeared under the circus tent.,he,disturb,idea,afterwards
I realized now that I was very close to * man in the canvas chair_ and I stepped back across the green alley.,the,walk,hot,skiff
A little group of tent hands were * as I came up.,speaking,trigger,calculation,gets
\"I * why they stick_\" one of them was saying.,wonder,square,burst,form
It was late in the afternoon when I again saw the * mechanic.,big,sugar,tie,support
The crowd from the circus * scattering.,was,dealers,benumbed,foxfaced
I had nowhere to go and was standing idly in the road when the * came up.,man,while,was,calmly
He looked me * very carefully.,over,explain,conception,fight
I explained that I was a stranger in the town_ but he pointed out very definitely how I * find the way.,could,pocket,permanently,eddy
He handed me a blank envelope *_ and half a dollar.,sealed,chestnut,lesser,rusted
I needed the half *_ for I was hungry.,dollar,uncertain,mask,depend
I had not a cent in the world and I had walked that afternoon * miles into the town.,ten,stretched,find,methods
It was not possible to mistake * directions.,the,slammed,awkwardly,deep
I followed the road the circus wagons had made from the meadow where the tents were *_ to the town.,stretched,yellow,breakfast,ivory
One could not * the main street through it.,miss,grasping,dirt,often
Presently I found * Red Sign Bar.,the,trainmens,required,marvels
The bar * crowded_ so my passage was not marked.,was,warehouse,whom,heard
I opened the door at the end and went into * room.,a,building,scattering,hours
Immediately the * sitting at the table sprang up.,man,happened,swung,mistake
On the table before him were a number * railroad folders and a map_ and he was making some calculations on a blank sheet of paper.,of,midnight,composed,dogs
He was * same man whom I had seen in the canvas chair in the alley of side shows before the big tent of the circus.,the,exists,held,law
But he * visibly changed.,was,feline,newspaper,settled
He was like a *_ incredibly active.,cat,last,special,indicatory
His hands were in his pockets and he did not move * he was on his feet.,after,reason,menacing,which
I closed the door and_ going *_ put the envelope on the table.,forward,selection,highhanded,platinum
He sat down with the same soft_ quick feline motion_ * the envelope open with his finger and read the contents.,tore,unlink,pneumonia,ponderous
But I had the * that while his eyes were on the paper they were also very carefully on me.,feeling,offers,imagined,servant
He folded the paper over his finger and_ * across the table_ showed me the lower half of what the note contained.,reaching,discussion,disable,his
The same baby that we spotted * the Junction goes to the tank at 10:15 to-night.,at,jar,oily,lie
