A number of small snout beetles (weevils) * eaten and some small caterpillars; there were also the remains of a spider.,were,glimmer,decaying,wheat
Within certain limits birds * the kind of food that is most accessible_ especially when their natural food is scarce or wanting.,eat,badly,brings,rest
Weed seeds form more than half the total food * include those of all the worst weed pests of the farm.,and,treated,literally,already
The vegetable * may be divided into fruit_ grain_ and weed seeds.,food,necessary,forests,recent
Often a dozen holes may * seen in one building.,be,fastened,low,three
In several cases these scales formed 80 per cent or more of the contents_ and in one_ 30 individual scales could * counted.,be,habits,weevil,bid
An examination of 855 stomachs showed that 68 per cent of the food consists of insects and their allies_ while the other 32 per cent is made up of various * substances_ found mostly in stomachs taken in winter.,vegetable,begin,similar,fence
It will be well also to keep the crow within reasonable numbers on game preserves and public parks where it is desired to * the nesting of smaller birds.,encourage,next,acorns,in
May beetles_ corn billbugs_ clover-leaf weevil_ army worm_ boilworm_ *_ and chinch bug.,cutworms,stand,else,spring
In its vegetable diet this bird much resembles its * relative_ the most remarkable difference being in the matter of fruit eating.,eastern,forlorn,evening,grain
These insects are mostly of small size_ and nearly all are * to the farmer or fruit raiser as pests.,known,bee,maintained,are
Another phœbe inhabiting the Western States and breeding * far north as Alaska is the Say phœbe.,as,captivity,nestling,cause
The California jay_ although * a different genus_ more nearly resembles its eastern relative in food habits and actions.,of,counting,extended,congregating
In the West * other species occur; one of the most interesting is the bush tit which_ with several subspecies_ occupies the whole Pacific coast region.,several,shell,law,resident
When the early fruit growers saw their expected golden harvest suddenly snatched away or at least much reduced in value by the * marauders_ it is no wonder that they were exasperated and wished to destroy the authors of the mischief.,little,occupied,insignificant,grateful
The blue jay probably renders its best services to man in destroying grasshoppers late in the season and in feeding on hibernating insects and * eggs_ as it does in the case of the tent caterpillar and brown-tail moth.,their,stand,also,peculiar
No bird has a worse reputation for nest robbing than has the eastern jay_ and yet of 530 stomachs of the eastern species only 6 contained eggshells or the * of birds.,bones,appears,material,prefer
The vegetable matter * of weed seeds and small fruits.,consists,wintering,heard,others
The insect food of the crow_ which comprises about a fifth of its yearly sustenance_ does * to atone for its misdemeanors.,much,giving,the,necessarily
