As if by a general and irresistible impulse_ every straggler would be drawn to the common center_ and for miles on every side of the great herd the country would be found * deserted.,entirely,suited,udder,overtook
His head and * were also well protected.,hands,amount,loss,forth
In the autumn of 1883 * nearly all outfitted as usual_ often at an expense of many hundreds of dollars_ and blithely sought \"the range\" that had up to that time been so prolific in robes.,they,deepest,fancied,energies
By some authorities who were consulted it was considered an impossibility to procure a large series * specimens anywhere in this country_ while others asserted positively that there were no wild buffaloes south of the British possessions save those in the Yellowstone National Park.,of,under,stubbing,respectable
In southeastern Texas he discovered * American bison on his native heath.,the,upper,mesquite,works
Could the southern buffalo range have been roofed over at that time it * have made one vast charnel-house.,would,buffalo,practically,consummate
Other * utilized were sinews_ which furnished fiber for ropes_ thread_ bow-strings_ snow-shoe webs_ etc.,portions,interests,warpaint,storm
When * snow-fall was unusually heavy_ and lay for a long time on the ground_ the buffalo was forced to fast for days together_ and sometimes even weeks.,the,majority,shooting,characters
In the United States the hair * the buffalo was still rather short up to the first of November; but by the middle of November it was about at its finest as to length_ density_ color_ and freshness.,of,nutritious,exhibition,following
Another large bull had the head of his left femur and the hip socket shattered completely to pieces by a * ball_ but he had entirely recovered from it_ and was as lusty a runner as any bull we chased.,big,walkers,governed,ceased
Perhaps there is no finer grazing ground in the world than Montana_ and the beef it produces is * entitled to rank with the best.,certainly,spread,principal,independently
The first section of the bill provided that it shall be unlawful for any person_ who is * an Indian_ to kill_ wound_ or in any way destroy any female buffalo of any age_ found at large within the boundaries of any of the Territories of the United States.,not,venison,wise,taste
The warm-hearted frontiersman gave the starving wanderers_ man * horse_ such a welcome as they stood in need of.,and,enormous,ports,twoyearold
Of all the methods that were unsportsmanlike_ unfair_ ignoble_ and utterly reprehensible_ this was in every respect the * and the worst.,lowest,posts,shades,sixtythree
In the *_ the hump is clearly defined_ but by no means so high in proportion as in the adult animal.,male,skins,barely,tame
Our conveyance consisted of a six-mule team_ which_ like the escort_ was ordered out for twenty days only_ * provided accordingly.,and,distance,several,continue
It is probably only those who have had the bad taste to eat bull-beef who have ever * occasion to asperse the reputation of Bison americanus as a beef animal.,found,crossing,wants,approach
Mr. Conger called for a * on the passage of the bill.,division,blindly,crop,blind
Mr. Miller Christy takes \"the mean of the estimates_\" and assumes that there * now about five hundred and fifty buffaloes in the region named.,are,despair,superior,human
By that * the market had become completely overstocked with robes_ and the prices received by Andrews and other hunters was only 65 cents each for cow robes and $1.15 each for bull robes_ delivered on the range_ the purchaser providing for their transportation to the railway.,time,skilled,habitat,enter
His first act was to heave the * over until it lay fairly upon its back_ with its feet up in the air.,carcass,immortality,mountain,farther
It was therefore decided to investigate * localities named in the Northwest.,the,because,hesitate,confirmation
This gives a strip of country 2 miles wide by 25 long_ or a total of 50 square miles covered with buffalo_ averaging from fifteen to twenty to * acre.,the,itself,over,hardly
At last he learned * run.,to,spots,skin,depth
In eighteen mouths * killed 4_280 buffaloes.,he,lose,early,reckoning
The historian states that universal * on the part of all concerned aided very materially in bringing about the total failure of the enterprise in a very short time.,drunkenness,happened,yards,consider
A reference to the memoranda of hair measurements already given will afford precise data on * point.,this,horsemen,ridges,cow
We left the rugged butte region behind us_ and entered a tract of country quite unlike anything we * found before.,had,activity,wisely,steak
I dismounted instantly_ but Chardon was raising himself on * hands_ with his eyes and mouth full of dirt_ and feeling for his gun_ which lay about 30 feet in advance of him.,his,thermometer,gained,children
This of course * an unusual occurrence with buffaloes not stampeding_ but practically at rest.,was,helpless,desist,ridden
In 1885 a * firm shipped over 200 tons of bones from Miles City.,single,bare,victim,passage
On the shoulder portions * the skin the hair is as short as on the hind quarters.,of,recent,dust,iron
Dr. V. T. McGillicuddy_ Rapid City_ Dakota_ has a herd of four pure buffaloes * one half-breed.,and,field,return,horns
By the 12th * October the hunt had progressed up Sand Creek to its source_ and westward across the High Divide to Calf Creek_ where we found a hole of wretchedly bad water and went into permanent camp.,of,state,thorough,accidents
To all hunters_ save greedy white men_ * chase on horseback yielded spoil sufficient for every need_ and it also furnished sport of a superior kind—manly_ exhilarating_ and well spiced with danger.,the,caused,year,large
Altogether_ the male calf described above so strongly resembles a pure-blood buffalo * to be generally mistaken for one; the form of the adult half-blood cow promptly proclaims her origin.,as,progeny,connection,practically
It was our intention to go to the head of Sand Creek_ and beyond_ in * buffaloes were not found earlier.,case,unparalleled,dies,immortality
In this respect_ shorthorn beef no doubt surpasses both the others mentioned_ but in all other points_ texture_ flavor_ and general *_ I am very sure it does not.,tenderness,reckoning,wideeyed,bedding
While Mr. Brown and I were getting * wagon across the bad grounds_ Messrs.,the,mixed,a,tide
W. F. Cody * 1888); two at the Zoological Gardens_ Dresden; one at the Zoological Gardens_ Calcutta.,in,darker,valley,here
One had already commenced to shed his hair_ but the other had not quite * that point.,reached,turning,code,soundly
It * said that buffaloes also crossed by way of the Kootenai Pass_ which is only a few miles north of the boundary line_ but the number which did so must have been very small.,is,second,misinterpreted,dozen
He declared that if he could ever catch a \"bunch\" at rest he could \"get a stand\" the same as he used to do_ and kill several * before the rest would run.,head,orbit,reasonably,traveled
With the most accurate hunting rifle ever made_ a \"dead rest_\" and a * mark practically motionless_ it was no wonder that nearly every shot meant a dead buffalo.,large,cause,monster,field
If his untimely end fails even to point a moral that shall benefit the surviving species of mammals which are now being slaughtered in like manner_ it * be sad indeed.,will,wait,widely,phosphate
