The mating season * when the herd was on its summer range.,occurred,temporary,stream,independent
If either of the references quoted may be taken as conclusive proof_ and I see no reason for disputing either_ then the fact that the bison once ranged northward from Virginia into Maryland is * established.,fairly,sent,estimate,dozen
In a few years the tide of overland travel became so great_ that the buffaloes learned to keep away from the dangers of the trail_ and many a pioneer has crossed the plains without ever seeing a * buffalo.,live,respectable,determined,risk
Some fell headlong the instant they were hit_ but the greater number ran on until their mortal wounds compelled them to halt_ draw off a little way to one *_ and finally fall in their death struggles.,side,naked,did,bone
The herds that * in Texas_ the Indian Territory_ and New Mexico probably spent their summers in Nebraska_ southwestern Dakota_ and Wyoming.,wintered,extinct,offered,document
As if Heaven had decreed the extirpation of the species_ the half-breed *_ like their white robe-hunting rivals farther south_ always killed cows in preference to bulls so long as a choice was possible_ the very course best calculated to exterminate any species in the shortest possible time.,hunters,precisely,intimated,handled
Had its mother remained with it_ or even in its neighborhood_ we should at * have seen her_ but she was nowhere within a radius of 5 miles at the time her calf was discovered.,least,mouthful,deserted,thoroughly
This is * prevailing species on the foot-hills and mountains generally_ up to an altitude of 7_000 feet_ where it is succeeded by Festuca ovina.,the,whites,ridges,leads
It is a long and difficult task_ and with commendable energy he sets about it * the earliest possible moment.,at,immense,developing,freeze
In 1883 Professor Kenaston found the fresh trail of * band of twenty-five or thirty buffaloes at The Elbow of the South Saskatchewan.,a,positiveness,frame,sides
This was the last move made * Congress in behalf of the buffalo.,in,penalty,prevented,outfits
In 1886-’87_ while the Wild West Show was at Madison Square Garden_ New York City_ its entire herd of twenty * was carried off by pleuro-pneumonia.,buffaloes,surprising,pieces,flakes
Let us first consider it at * best_ which in principle was bad enough.,its,example,number,consummate
On February 2_ 1874_ Mr. Fort introduced a bill (H. R. 1689) * tax buffalo hides; which was referred to the Committee on Ways and Means.,to,back,move,toothsome
At the instant the first * rang out up sprang every buffalo as if he had been thrown upon his feet by steel springs_ and in a second’s time the whole bunch was dashing away from us with the speed of race-horses.,shot,similar,prairies,horns
Oh_ this * not much_ Mons.,is,abundantly,taken,mountain
In 1882 an immense herd appeared on the high_ level * on the north side of the Yellowstone which overlooks Miles City and Fort Keogh in the valley below.,plateau,streak,livershining,according
Of all * quadrupeds that have lived upon the earth_ probably no other species has ever marshaled such innumerable hosts as those of the American bison.,the,wretchedly,countries,chooses
The year following * the completion of 265 miles more_ and in 1867 245 miles were added_ which brought it to Cheyenne.,saw,forgotten,travels,railroads
Whenever our own tired and overloaded team got stuck in the mud_ or gave out_ there was always a pair of mules ready to hitch on and * us out.,help,need,develops,literature
There is nowhere in this country_ nor in any of the waters adjacent to it_ a living species of any kind which the United States Government can not fully and * protect from destruction by human agencies if it chooses to do so.,perpetually,gladly,proceeded,were—ayes
To afford an idea of the truly military character of * Red River expeditions_ I have only to quote a page from Prof.,those,enemies,thickest,dated
As we were proceeding to the Buffalo Buttes on the day after the \"kill\" to gather * the spoil_ Mr. Brown and I taking charge of the wagon_ Messrs.,in,quadruped,hill,approximate
His horns were entirely concealed by the immense mass of long hair that nature had piled upon * head_ and his beard was as luxuriant as his frontlet.,his,classification,scanning,reproduction
