Then came the cold-blooded * of the still-hunt.,butchery,bountiful,wonderment,escorting
The most striking change is in the body * the hips and the shoulders.,between,an,indifference,connected
One was caught by a cowboy named Horace Brodhurst_ ear marked_ and * loose.,turned,grazed,uniformly,home
Of course the slaughter * greatest along the lines of the three great railways—the Kansas Pacific_ the Atchison_ Topeka and Santa Fé_ and the Union Pacific_ about in the order named.,was,other,dealers,forward
The lowest prices ever paid were during the tremendous slaughter which * the southern herd.,annihilated,least,spreading,hot
As usual * such conditions_ the bulls were half the time chasing the cows_ and fighting each other during the other half.,under,resorted,continuing,hampered
The fur seals who cover the \"hauling grounds\" of St. Paul and St. George Islands_ Alaska_ in countless thousands_ have * less sense of danger and less comprehension of the slaughter of thousands of their kind_ which takes place daily_ than had the bison.,even,pursuing,coast,outer
The many bleaching skulls and antlers of elk and deer_ which we found * we went_ afforded proof of what that country had been as a home for wild animals only a few years ago.,everywhere,slowly,reach,file
They have seen * great herds driven westward farther and farther_ until the plains were left tenantless_ and hunger took the place of feasting on the choice tid-bits of the chase.,the,relating,unrestricted,builders
By a strange fatality_ our spike bull appears to be the only one in any museum_ or even in preserved existence_ as far as * be ascertained.,can,assisted,rapidly,acre
Indeed_ for myself_ I am well convinced that there are many old ex-still-hunters * living_ each of whom is accountable for a greater number of victims than all buffaloes killed by foreign sportsmen would make added together.,yet,misinterpreted,quicksand,packed
It is therefore in order * base further calculations upon these figures.,to,mass,activity,snowshoes
But for the great number of railroads_ river steamers_ and sea-going vessels (from Texas ports) engaged * carrying this product_ it would have cut an important figure in the commerce of the country_ but owing to the many interests between which it was divided it attracted little attention.,in,know,springs,sheep
The hair of the chin-beard is *_ perfectly straight_ jet black_ and 11½ inches in length on our old bull.,coarse,migrations,bare,fighting
Our first success consisted in the * of a buffalo calf_ which from excessive running had become unable to keep up with its mother_ and had been left behind.,capture,increases,preservation,chargeable
It is very short_ its general * seldom rising more than 3 inches above the ground.,mass,termination,dread,completed
Out of his 1_200 robes taken in 1882_ Mr. McNaney picked out 12 which passed muster as the much sought for blue robes_ and they * at $16 each.,sold,obstinate,fruitful,fill
Thither went scores * \"outfits\" and hundreds of hunters and skinners from the Northern Pacific Railway towns from Miles City to Glendive.,of,enough,impounding,against
The Crows forthwith formed a pool_ which consisted of a huge pile of buffalo robes_ worth about $1_200_ and * it backed their best race-horse.,with,ports,exhibited,from
If ever thoughtless people were punished for their reckless improvidence_ the Indians and half-breeds of the Northwest Territory are now paying the penalty for the wasteful * of the buffalo a few short years ago.,slaughter,furrows,trainloads,acknowledged
MEXICO.—In regard to the existence of the * south of the Rio Grande_ in old Mexico_ there appears to be but one authority on record_ Dr. Berlandier_ who at the time of his death left in MS. a work on the mammals of Mexico.,bison,brief,serves,wagonbows
We were told that * was visible from 40 miles down the Porcupine.,it,resisting,issued,improvement
The Canadian Pacific Railway found only bleaching * in the country through which it passed.,bones,bitter,stringent,wandered
He is then simply not * to be seen_ even by his best friends.,fit,survival,tied,legislation
The extent of the country they had to range over made it reasonably certain * their number would not be diminished to any serious extent by the cowboys on the spring round-up_ although it was absolutely certain that in a few months the members of that band would all be killed.,that,constitute,hanging,persistent
The fourth buffalo_ an immense * bull_ was chased fully 12 miles before he was finally brought down.,old,shiftings,slow,rubbing
The observations of Colonel Dodge completely disprove this very interesting theory; for at best it * only a picturesque fancy_ ascribing to the bison a degree of intelligence which he never possessed.,was,stockmen,avenger,map
In the * of this map I have drawn liberally from Mr. J. A. Allen’s admirable monograph of \"The American Bison_\" in which the author has brought together_ with great labor and invariable accuracy_ a vast amount of historical data bearing upon this subject.,preparation,courage,believing,longitude
Although this was once their habit_ we soon found that those * now represent the survival of the fittest have learned better wisdom_ and now run (1) away from their pursuer and (2) toward the best hiding place.,who,other,walls,purchase
A warm skin is very elastic_ and when stretched upon * ground the hair holds it in shape until it either dries or freezes_ and so retains its full size.,the,preference,sharppointed,bringing
The hunting season which began in October_ 1882_ and ended in February_ 1883_ finished the annihilation of the great * herd_ and left but a few small bauds of stragglers_ numbering only a very few thousand individuals all told.,northern,carry,penetrated,gaping
In fleeing from an enemy the buffalo * against the wind_ in order that his keen scent might save him from the disaster of running upon new enemies; which was an idea wholly his own_ and not copied by any other animal so far as known.,ran,mans,paid,held
It is the highest ground anywhere between the Big Dry * the Yellowstone_ and is the starting point of streams that run northward into the Missouri and Big Dry_ eastward into Sand Creek and the Little Dry_ southward into Porcupine Creek and the Yellowstone_ and westward into the Musselshell.,and,fast,important,hilly
Even despite the enormous waste of raw material that ensued in the utilization of the buffalo *_ the total cash value of all the material derived from this source_ if it could only be reckoned up_ would certainly amount to many millions of dollars—perhaps twenty millions_ all told.,product,another,shipping,roll
I have * hundreds of these animals at short range_ and have killed and skinned several very fine specimens_ one of which stood 5 feet 10 inches in height at the shoulders.,seen,making,ridges,experiment
As might be expected_ from the time the bison was first seen by white men he has always been a conspicuous prize_ and being the largest of the land quadrupeds_ was * the first to disappear.,naturally,divide,supplemented,buffalobreeding
Like a seventeen-year-old boy_ the young bull shows his youth in so many ways * is always conspicuous_ and his countenance is so suggestive of a half-bearded youth it fixes the interest to a marked degree.,it,illgotten,horde,belief
The protection of game is now and always * been simply a question of money.,has,twoyear,incredibly,trainmaster
On April 5_ 1872_ Mr. B. C. McCormick_ of Arizona_ made a speech in the House of Representatives_ while * was in Committee of the Whole_ on the restriction of the killing of buffalo.,it,power,search,railroads
The winter herds of * Colorado_ Wyoming_ Nebraska_ and southern Dakota went to northern Dakota and Montana_ while the great Montana herds spent the summer on the Grand Coteau des Prairies lying between the Saskatchewan and the Missouri.,northern,country,grief,bunchgrasses
The most economical calculate that from eight to ten * are required to load a single Red River cart.,cows,relax,hit,way
It would have required a body of armed men larger than the whole United States Army to have withstood this continuous * pressure without ultimate annihilation.,hostile,apparent,situation,curls
