They * two or three steps when Sidney felt the weight released from his shoulder.,took,supply,partaken,hundreds
That did not last long_ but it was followed by a zone * mud.,of,swell,despite,fastnesses
Then it flashed into his mind that he was being dragged * certain death_ instead of being saved.,to,sinking,kill,together
At last he succeeded in getting Raymond on his feet * started with him down the mountain.,and,confess,direction,clubbing
\"The sounder they sleep the *_\" replied Sidney.,better,cover,size,all
The thick lamb’s wool cap which he wore_ and which is the usual head-covering of men in the Caucasus_ had * protected his head that the shock of being thrown against the wall had only slightly stunned him.,so,cartridge,viewing,supporting
\"No more lunches in the * for me_\" declared Raymond.,snow,slipping,look,handbag
He could not remember * first where he was.,at,assured,province,outside
The buildings were * of rough stone and the walls were not finished smooth with mortar or plaster_ so that_ seen at a distance_ the village might easily be taken for a collection of rocks on the side of the mountain.,all,misery,pursue,atom
It had been Captain Foster’s custom to stop * Constantinople_ but there had lately been so many rumors that Turkey was about to join Germany in the war that he decided to make no stop on that voyage.,at,olive,black,blocked
\"The animal that’s growling like that is bigger than * wolf_\" declared Raymond.,a,trod,agreed,gloom
He called the mate’s * to that_ and said he felt uneasy about their condition if there should be a storm.,attention,scooped,courteous,sheltering
Then he * the bar which seemed to be thinnest at the lower end_ and began to give it quick_ sharp jerks_ first one way and then the other.,selected,stick,partly,number
After * boat had left the wharf at Kazan_ the boys took every opportunity to speak to the sailor_ it was so pleasant to be able to talk English with some one.,the,ran,worth,comfort
The latter_ with water to remove * effect of its salty condition_ was extremely palatable_ and the boys made what they declared was a sumptuous supper.,the,leisurely,its,will
\"I wish this old tub could * faster_\" said Raymond grumblingly.,go,activities,allowing,hearty
\"It’s a shame to leave that fine pelt *_\" said Raymond_ looking from the steak he was consuming over to its source.,here,prayers,also,uniform
When that matter was arranged_ the captain said that he must * to the boat.,return,loaf,stared,dove
Sidney_ when he examined the knapsacks_ found there was * moderate supply of bread and cheese.,a,erect,from,lowest
They * cautiously over the ice_ until suddenly they came to the edge of a crevice.,proceeded,sought,pounded,wait
He then returned it with a * bow and with a statement of which the boys understood only the words meaning \"government\" and \"army.\" Still he motioned for the boys to get off their horses.,polite,blank,straining,spirited
That was repeated until from each side extended a span so far out that finally the intervening space could be covered * a length of poles.,by,amounted,steaks,bed
Raymond threw his blankets down on the ground and began to unroll them * speaking.,without,neck,encouraged,maintain
\"No_ it’s *_\" replied Raymond.,filthy,barrel,arm,features
When they were halfway across the valley_ two wild-looking horsemen emerged from the gorge and dashed * them.,past,emerged,loved,becoming
Sidney turned sick and faint_ expecting to see his brother fall from his horse pierced by half a * bullets.,dozen,proposed,heaped,comb
Then_ being older_ he was more solid and more closely knit_ * he possessed greater endurance.,consequently,many,merely,destitute
\"It is not desired to detain the * men_\" replied the gentleman with considerable impatience.,young,flame,than,inclined
