\"Oh_ no_ you don’t!\" cried Raymond_ and whipping out his revolver he * the man with it.,covered,dog,nice,bazaars
\"I wish we could see to the sides and back_\" * Raymond.,said,spirited,miles,broader
When breakfast was out of the way_ Raymond took up his new revolver_ which he * not had time to examine.,had,depend,trying,lifted
In one place * great rock stood out from the back in such a way as to afford protection from up the ravine.,a,reasonably,room,delicious
He believed that in a seaport they would almost certainly find some one who could speak English and who would * willing to help them_ even if the official of the telegraph office could not be made to understand.,be,cleansed,boneheads,floating
The boys had successfully made a difficult journey without harm_ and had proved that they were quite able to take care of themselves under unusual conditions of great danger_ as he had all along * that they were.,maintained,news,makes,barrel
At least * room was bare of furniture_ but it was indescribably filthy_ and the boys gradually became aware that the filth which littered the floor and the plank bed was swarming with vermin.,the,pretty,suddenly,base
There was * other way_ and clubbing the pistol he brought it down with full force on the man’s head.,one,thickened,called,hostilities
At last * boys reached the unbroken trail across the path of the avalanche.,the,profound,raising,crevice
They also * heavy boots_ horsehair cloaks_ and saddlebags. Then they bade good-bye to the sailor with hearty thanks for his aid_ and went to the inn to get a good rest in preparation for hard work the next day.,bought,custom,selected,swim
The village_ plainly_ was situated among the foothills_ right at the base of the towering range * they had yet to cross.,which,drenched,falling,trod
If there were only * line to tie him fast!,a,precision,attempt,asylum
But rough as the walls were_ there was no projection on which anything might be laid or * which it might be suspended.,from,revolution,wavered,edges
Their legs gave way under * and they sank to the ground.,them,together,sighed,furnishes
\"What in creation are they talking_ Sid?\" * Raymond.,asked,fatigued,irons,break
Early to bed_ the old * truthfully says_ is early to rise_ and the boys were awake before the sun had touched the peaks around them_ and while the cañons were still in dense shadow.,jingle,drenching,slush,lights
The match died down and Raymond * back to the doorway where Sidney waited.,turned,unroll,young,realized
Over that * surface the boys plodded slowly but steadily_ and with good cheer.,yielding,armed,indicate,pierce
Early in the afternoon the captain called the boys’ * to the island of Skyros_ which showed off on their right_ and he told them that before long they would see the mainland of Greece.,attention,native,gone,smile
As Raymond straightened up with the revolver in his * the prostrate man raised himself to his elbow.,hand,properly,scenery,number
With the purchase of a box of cartridges_ five of * went immediately into the cylinder of the new gun_ Raymond said he felt more like himself.,which,past,conversation,selections
In front of them was the narrow_ level space on which they had * when they climbed the ladder_ and beyond that fell a slope which appeared_ in the gloom_ to be set with knobs.,landed,outcome,arms,crouched
\"And * Americans are a wonderful people_\" said the stranger.,the,support,shrilly,established
\"Well_ I don’t *_\" replied Sidney.,know,fund,awkward,ploughed
Those desirable accessories to a comfortable journey they accordingly presented to the chief of police_ who had taken * active an interest in their welfare.,so,fed,fiftyfive,east
\"You like * here?\" asked the man_ with a twinkle in his eyes.,it,unloading,won,knotted
Captain Foster learned that the ship which had rescued them was the Salzburg_ an Austrian torpedo boat destroyer_ which was doing patrol * from Pola as a base.,duty,turning,obvious,globes
So the bread was * away in the knapsacks with the small supply already there.,stowed,black,nostrils,mistake
It was nearly on a line with the jutting spur that * the inclosure_ so it was protected also from in front.,formed,spirited,colossal,game
They sat on their * back of the little fire and ate the bread and cheese with great relish.,blankets,sanguinary,around,sulkily
The opening was narrow_ and the cliffs on either side were ragged and *_ affording the best possible place for concealment.,broken,suppose,weeks,telegram
It seemed ages since they said good-bye to * in New York.,her,things,its,colossal
There was * low_ muttered grumbling_ mingled with a strange whimpering.,a,sufficiency,seldom,imagine
There was no more sleep for them_ and they * in bed wide awake.,lay,balked,blue,agonizing
The money which the boys carried concealed beneath their clothes was not discovered_ and the only attention they gave to the * was to make joking remarks and laugh when the rolls were noticed hanging from the window bars.,blankets,straight,height,proudly
Then it * be hurled down into the trough of the sea_ and be threatened with destruction by the waves that reared on either side.,would,depth,glimpse,remained
\"He’s asking if we have no horses_\" said Sidney_ and he related how their horses had been taken_ giving it all in English except the words \"government_\" \"army_\" and \"horses_\" * which he knew the Russian equivalents.,of,doubted,sounds,realized
The first ship which they came to was a small steamer where there were a couple * sailors talking in a language that sounded strangely familiar to the boys_ and yet which did not seem_ after all_ to be one with which they were acquainted.,of,lie,escape,ultimate
For several days they climbed steep slopes by endless zigzags_ * trod the edges of dizzy precipices.,or,socially,scrubbing,progress
All thought of the Great Fair_ * they had come so far to see_ had entirely left their minds.,which,climbing,despite,—and
The windows were suffused with the soft light of late evening in a high *_ and the prevailing aspect was so peaceful that they were more than ever inclined to think they were dreaming.,latitude,chasing,chose,bather
They were taken on board_ and were shown to a * cubby-hole of a cabin that adjoined the captain’s own stateroom.,tiny,pelt,early,tie
Even with the most faithful chewing * found it difficult to swallow the morsels_ but they persevered and managed to consume nearly all of the pieces which Sidney had apportioned them.,they,rear,declivity,cañon
The trail was so well defined_ however_ that they had no difficulty in following it_ even * they could not really see the road they were traveling.,when,out,undetermined,eye
While * was still too small_ however_ for the boys to distinguish anything about her_ even with the glasses_ Captain Foster examined her again.,she,propose,villainous,legs
The packs_ too_ though not really heavy_ were burdensome_ and toward night made the boys’ legs_ which lately had not been used to tramping_ * distressingly.,drag,gazed,sudden,attendants
The day wore on * noon_ and the boys took a lunch from their knapsacks.,past,overtaken,morsels,mined
The officer approached and looked at the *_ not unkindly.,boys,couch,handle,wits
\"It’s not a cruiser_\" he announced immediately; \"it’s a tramp steamer. Do you * to look at her?\" And he passed the glasses over to the boys.,want,same,failing,cry
The sky was clear_ and a bright * had done quite as much as the boys’ vigorous rubbing to bring about that condition.,sun,opening,now,steps
The officer gave an order and two of the men untied the rolls of blankets and cloaks * back of the saddles and laid them on the ground.,from,bandage,ultimate,gray
Failing in that he threw his blankets down on the * and grasped the ladder to descend_ fearing that harm had come to his brother.,ground,justify,dense,cloak
Then a hand-rail * placed along each side_ and the result was a rude but stable and safe suspension bridge.,was,devices,navigating,dingy
\"Gee! Sid_\" he exclaimed_ after taking * look_ \"the alley that we came up last night is a street with houses opening on it. But I don’t believe there are any more houses as high up as this one. You take a look.\" And he made way for Sidney.,a,past,off,added
The ship_ therefore_ was headed to pass directly *_ and the boys thought that they would see the interesting foreign sights only from a distance.,through,had,meal,beauty
With the assistance of their friend the boys purchased two *_ spirited horses and high Tatar saddles.,young,wander,stopped,wagon
