\"Now_ go on_\" ordered Raymond_ * up the trail.,motioning,indicate,bandage,waste
They had gone far above the timber-line_ and there * not a shrub or tree in sight_ nothing to make a fire for warmth.,was,puzzled,prostrate,smoothest
Several * these surging gusts enveloped the boys.,of,mishap,fathom,orchards
Then a woman from another * joined him and they danced in a stately fashion.,side,descend,healthy,timber
Raymond seized his * revolver_ which he had placed under his pillow_ raised on his elbow_ and_ taking a quick aim_ fired.,new,greater,anticipation,manage
The evening before they had noticed nothing unusual in conditions_ or if there had appeared to be great activity_ they had supposed it was only * ordinary business of the city.,the,realize,promise,pale
He read the paper aloud_ and its effect * the assemblage was great.,on,culminated,rumors,waters
In a * minutes Captain Foster returned.,few,significant,opening,date
They kept the trail in the dark * the instinct that is shown by animals_ rather than by any exercise of reason_ and they paid no attention to its direction so long as they were advancing_ as they supposed_ to water.,with,indignation,hole,interesting
He * fastened the middle to the raft_ and had a secure anchor.,also,scanty,alertness,shrub
His grasp on the rope held more because his fingers were stiffening in their clutch * because of any volition on his part.,than,minutes,muffled,important
\"Do you * there is really much danger_ captain_ that we shall strike a mine?\" asked Raymond.,think,examined,littered,failure
The boys made a hasty examination of * citadel and took refuge at one side of the big rock at the back.,their,slip,pierced,drizzling
Bringing the gun forward into position with the lightning sureness of one accustomed to shooting * heavy pistol_ the instant it reached a level before his eyes he fired_ without appearing to take any aim.,a,temerity,source,short
\"That was as near as I want to come to passing in my checks_ Sid_\" said Raymond as they lay on the * below the cañon wall.,sand,prepare,stopping,broader
At daylight on * following day the ship was far up the Adriatic_ opposite the coast of Austria.,the,suspension,surely,extent
\"You be sorry_\" said the man with an * look.,ugly,splintered,jerk,fillip
The sky was clear and starlit_ but there was no moon_ and the mountains_ which seemingly nearly surrounded them_ were black and without form_ and shut out most * what light there would otherwise have been.,of,desire,sea,spattered
While the next ravine * not the bed of a glacier_ it contained very much more snow.,was,wall,iron,traffic
\"How can you tell that’s not a cruiser?\" * Raymond.,asked,yet,games,stunned
Soon both of them began to feel a strong desire to explore the lunch-bags_ but they remembered * dry that lunch was_ and how difficult it would be to eat it without something to wash it down.,how,on,occupy,turbulent
As * gazed_ the glowing orbs rose slowly to about the height of a man_ where they again remained stationary.,they,fiftyfive,vessels,chopped
