\"Don’t lose *_\" he said to them.,heart,penetrate,salt,zero
\"You needn’t feel cheap_\" said the captain; \"if you paid half what he asked_ you paid enough. You don’t * like the same young men.\" And he regarded the boys with satisfaction.,look,trail,earliest,account
The fife was playing shrilly_ and as * drum began to mark time_ a man stepped out into a space that had been left in the center.,a,amusement,sensation,accoutered
The travelers were viewing * wonderful panorama from a height of fully twelve thousand feet_ and only in the western portions of the range were points that were higher.,the,complainingly,can,labored
The ascent was gradual * was not difficult at any time_ and there was sufficient shade to temper the sun’s rays_ which_ in those southern valleys_ would otherwise have been scorching.,and,patrol,laughed,packed
From the Gardens the travelers saw at their feet the two broad rivers_ and on the peninsula formed by the junction * the two streams was situated the great temporary city of the Fair_ connected with Nizhni-Novgorod by a bridge of pontoons_ transitory_ like the community it served.,of,enveloped,years,accent
\"Isn’t it?\" responded Sidney_ though at the time he was so tired he could * stand.,hardly,locking,declining,driven
The most important part of the city is on the * bluff that borders the two rivers along that side_ and the hotel which our travelers selected was on the bluff near the Kremlin.,high,olive,lead,capital
While the valleys were filled with luxuriant growth_ fostered by the streams that were conducted * canals over their surface_ the mountains were more forbidding_ and that condition_ also_ reminded the boys of their own Southwest.,in,relate,absolute,defined
In such places they * through the soft snow_ at times sinking to the waist before striking the hard old snow beneath.,struggled,passengers,cause,child
The man who pursued them was shorter_ older_ and * agile_ so_ although he was carrying nothing_ and Sidney_ at least_ was well loaded_ the boys managed to keep ahead.,less,bigger,welldirected,both
He remembered * flight in the dark from the village_ their having taken the wrong road_ and their failure to find water.,their,sides,they,welldefined
When the gust had gone by_ just as they were able to see once more_ there was a * directly above them.,roar,because,south,wholly
As they were about to enter_ something over the door caught Raymond’s eye_ and he * and stared incredulously.,stopped,shrubs,borders,assemblage
Then the perplexing question was solved in * startling manner.,a,regretful,massed,second
The road would * up out of a cañon for two or three thousand feet by a series of zigzags over a lofty divide_ and descend by another switchback into a similar cañon on the other side.,climb,advancing,rippling,become
For many hundreds of years the great Caucasian Range was a harbor of refuge * oppressed people of various nationalities.,for,halfway,roast,want
The boys could imagine that * men were commenting on the comfortable night they would pass if they attempted to sleep on their suspended beds.,the,ripened,rang,neighborliness
There was no wind_ and the waves and swells caused by the destruction and the * of the Princess Mary were beginning to subside.,sinking,neighborliness,maintaining,coming
There everything looked cheerful * homelike.,and,interesting,from,bloody
