Miss Stratton had seated * on a chair at a small table standing at the window.,herself,enjoy,growls,taking
There was a somewhat obscure and badly-lighted stretch of road to * ere Mr. Bootle could reach his destination_ which was the hotel so much frequented by Gregory Staines.,traverse,steward,receive,lodgings
Picture his dismay on discovering that Captain Cochrane had not * out with his ship this time.,come,tempered,leaped,sketches
For awhile * reigned an awestruck silence in the room.,there,purely,wrought,nerveless
She_ therefore_ resolved upon remaining in the vicinity_ instead of going to England_ where she knew * few people.,very,husbands,impassive,length
All * whom he had to fear were swept from his path.,those,picked,eagerness,art
But this prospect proved so overwhelming to the over-wrought girl * she burst into a passion of weeping_ and hurried up to her own room.,that,echoed,dealings,night
Mrs. Twiley * here again.,was,spite,sleep,privilege
After a time nobody * to argue her out of this belief_ for it comforted her_ and kept her from sinking into the despondency that would otherwise have overwhelmed her.,tried,embarked,admiration,embarrassment
Mr. Bootle_ otherwise Annie Cory_ felt a slight accession of nervousness on entering the hotel to which Mr. Staines hurried as if he were afraid of missing some of the * going on inside.,fun,lace,life,tale
\"Run * tell the skipper_\" he cried eagerly.,and,niece,tampered,strive
But Mr. Bootle was too delighted with the prize he * obtained to be very thin-skinned about this stranger’s opinion.,had,violence,baffling,claims
This he * not do_ as he deemed his speedy presence in England imperative_ in Harley’s interests.,could,solely,desired,object
\"Centurion_\" and afterwards published in all the * newspapers of Europe.,principal,bushy,popular,cry
At first they also worked hopefully_ until it became evident that whoever had concocted the plot * which he was the victim_ had neglected no precaution against the failure of their plans.,of,bravely,unscathed,deserted
The * views were not shown yet.,local,disfavour,arrived,hand
It was singular that the lock of the steward’s door should have gone wrong_ and that when he went to bed that night he could not turn the *_ as was his wont on retiring.,key,send,effects,powerless
Anyhow_ she had done her part of the investigations well_ and had sent * very comprehensive report.,a,pictures,employing,installed
Then followed a recapitulation of all the details already familiar to the reader_ and it was * Mr. Bootle had surmised.,as,fleetsome,peremptorily,propre
The progress of our story * show how they went about their new employment_ and what were the results of their endeavours as amateur detectives.,will,ark,yourself,darling
After this Mr. Staines would fain have * talking to Una.,continued,accident,rapidly,emphasised
Annie_ though she was tired and heartsick_ was * her to the last_ rendering what help she could_ and wondering all the while if this terrible event could be the accident it was supposed to be.,with,health,real,known
So Sergeant-Major Twiley was *_ and the ladies found their convictions confirmed.,reassured,contour,solemn,recourse
Another spare berth on this side completed * accommodation.,the,news,adverse,ear
There was the long red moustache_ and * was the checked tweed suit worn by the would-be passenger_ whose career was to be so soon ended.,there,dropping,forthcoming,ploughing
