The experience of robbing * first train did not seem to affect me.,my,ticked,stresses,prominently
There was a table with several leather-bound books on *_ some folded papers in their wrappers and some written memoranda_ on sheets_ lying about_ and a chair where some one had just been sitting.,it,labor,evil,gesticulate
He made * pull down the track for perhaps half a mile_ then he stopped and put him off.,him,feline,rest,descend
He went on * though he were speaking to himself.,as,youll,staterooms,reputation
And with that the conversation ended and the motor * went on.,boat,hurry,developed,block
The sun was going down_ and the sea continued * be as placid as a sheet of glass.,to,industrial,tropical,gratitude
The messenger denied * anything.,having,absent,am,corners
Nevertheless I felt as though their eyes were fixed on me and each man had a weapon * his pocket; but no one moved toward my end of the car.,in,war,end,shadowed
\"I * discovered the thing you are seeking_\" he said.,have,any,drum,stopping
And * they not been warned to silence?,had,younger,messengers,fall
He explained it all to Maggie * she came in.,when,formulated,reports,beside
He might have been a Cockney_ born under the Bow Bells; but it was more probable * he was a New York gunman.,that,sense,clearly,push
That would leave the memory of * father clean; but it clearly meant that she herself could not escape the criminal courts.,her,ghostly,form,stones
I had * wish to delay a customer.,no,one,doctor,trucks
The two government detectives watched him for a few minutes_ then * went out.,they,attempt,ate,located
He flourished the paper a *_ wildly_ before the lawyer’s strange_ contracted face_ and then he tore it into bits_ scattering the fragments about the room.,moment,crew,remained,seemed
There was a fog_ and the * did not see the red signal soon enough.,engineer,nevertheless,either,information
It was a soft October night with a bare threat of frost in the air; the sky gray with stars_ * a vast silence.,and,weight,perform,our
We * hidden in the bushes close beside the tank when the train rolled in.,were,consuming,expanded,wrong
It clattered at the feet of the *_ and Walker stooped swiftly and picked it up.,girl,passed,know,dreadful
He had pulled an empty mail sack down over the man’s head and shoulders and left him there; and there he had been found three hours later when the train pulled into * of the central cities of the west.,one,master,wire,quizzical
The girl had been questioned_ and the thing * now clear.,was,beautifully,swift,regard
He knew * well that the German had recognized him and reported the fact to the police.,perfectly,my,send,lighter
He looked precisely * one of the thousand traveling men who go about over the country.,like,intentions,important,enemy
\"We shall * to walk up_\" a voice said.,have,use,contact,fill
The little office of the Justice * at the end of the village.,was,career,property,understanding
Walker had returned * his careless manner.,to,done,below,dreamed
And * distiller saw_ in a vast sweep of vision_ the effect of this discovery.,the,constituted,happened,princess
It did not occur to me to go to a plumbing shop_ and if I had thought of that I would not have * what excuse to make for my purchase.,known,chemists,affair,display
It was_ rather_ a little squat lantern with a bull’s-eye bulb; * so_ I imagine—for there was a powerful light concentrated on the small disc and it_ therefore_ required a considerable battery.,thick—necessarily,naming,poker,doctor
We ate our breakfast_ and he went to sleep_ curling up in the leaves of the thicket as though nothing extraordinary had *_ and he was peacefully in a bed.,happened,curb,whats,hide
They set on foot * investigation which seemed likely to have any result; but they were not able to discover the source of the note which had been observed by the clearing house.,every,telegraph,janitress,applied
But nobody knew at what place this robbery had been accomplished; whether it was done at the point of shipment_ some place * the line_ or where the packages were delivered to the banks.,along,gorgeous,compensated,resumed
Mooney got up * his sack on the platform.,from,struggling,lips,warehouse
At * end of the bronze fence_ as she passed_ she observed another figure crouched against the wall as though it also kept guard on her house; but it moved away as she approached_ as though to conceal itself around the turn of the wall inclosing the spacious grounds.,the,girls,mind,type
There was some bustle * the door.,about,fatal,ink,attended
He went on condensing the unessentials in the hope of getting Colonel Swank * with his narrative.,forward,varied,breaking,washed
\"And he got them with a *_\" I said.,diamond,sealed,stopper,still
Finally it was accomplished and * started away in the darkness.,we,applicable,theory,dream
