The Colonel lowered his voice_ and * he said passed in a whisper to his companion.,what,photographed,wellcut,await
The little nervous man_ Mooney_ regarded me searchingly for * moments before he spoke.,some,summer,agent,drawn
I drew the rod out of my sleeve and handed it * him.,to,jump,corridors,reserve
We continued to travel the road_ running_ as I afterward discovered_ * east_ and about daylight we came to another railroad line.,due,deliberate,displayed,method
The cut seemed endless_ and in spite of our speed I could see the * rise higher and higher against the sky until the walls seemed perpendicular_ as though the track was cut down through solid rock.,outlines,ax,answered,shrugged
But this person_ called Mooney_ * an extraordinary human creature.,was,drivers,nearest,enchantment
\"Give me the spook *_\" he said.,faces,throngs,promoting,sheriffs
There were three hobos riding * the top of the mail car.,on,trains,matter,measure
White and I * ourselves where he thought the baggage and express cars would stop.,hid,discount,paying,figure
They * facing toward the gate.,were,threadbare,slow,sudden
What she would * doing there was too obvious.,be,tents,goes,theory
The impressions of fright are * vivid.,conspicuously,down,keeping,hilltop
The witness sat back in his chair * though he had finished with his testimony.,as,indescribable,second,tour
On * right of the entrance door is a couch running the full length of the side of the room.,the,lighted,glance,indicatory
The Blackacre Bank had kept the search hot for him_ pretending the * welfare.,public,pound,confused,related
To the train crew I was the third menacing figure_ masked and armed_ but I am not certain what benefit I would have been to the * men in a sudden emergency.,two,route,circumstantial,separated
The smile deepened; extended * until it became a merry chuckle.,itself,mouth,married,train
We pushed the car along the street for perhaps a hundred * before we got in.,yards,makes,latest,simultaneously
Any one else in the world would have hesitated to have the safe opened_ and would either have removed the dummy envelope when he took out the packages * money_ or would have left it; but not Mooney.,of,woodnymph,second,individual
He was afraid to go to a hospital; and_ yet_ from what Maggie afterward said_ Mooney was even then_ in the first few hours of * illness_ certain that he had reached the end of his career.,his,neither,arrange,determine
He moved my diamond out a * farther from his eye.,little,straw,smile,pleasantry
We * bore no relation_ in our outward appearance_ to the men who had held up the train.,now,wizard,testimony,companion
She was in fact a very skillful person and she conducted it * immense cleverness.,with,additional,largest,send
If one had been searching the world for types of the worst human derelicts_ the * would have ended at the drum on the rear of this tramp.,search,report,coincidence,change
He looked at the * on the motor.,clock,briefest,conciliatory,sound
This woman was small and dark haired with * eyes and flat ears set close to her head.,narrow,instance,goods,motor
The big man linked his fingers together on the * arm.,chair,pursuit,disclaimer,impaled
He had been_ all the time_ * our very noses.,under,authority,bearings,threadbare
All over the city_ white with newly fallen snow_ * the symbols of this majestic celebration of the birth of the Saviour.,were,prohibition,interest,banks
It was Walker of * Secret Service.,the,eager,wig,shot
Then he * up and began to walk about the room.,got,much,terms,nationality
Arnbush and the attorney_ Stetman_ sat at the table after the * of the dinner had been removed.,fragments,was—the,tank,enticed
His voice_ when he spoke_ presented * same evidence of utter languor.,the,block,meetings,calculations
