The twenty colts which changed hands produced the handsome * of about 13_820 gs.,total,readily,October,\"lot
_ which represents a high average one * the number alone_ however_ fetched 5_500 gs.,of,Trumper's,testimony,forty-two
Others also brought good prices large sums for individual yearlings was the rule_ close upon sixty animals being knocked down at prices * from 1_000 to 3_000 gs.,ranging,Sussex,Spigot,starts
_ which must have recalled old times and prices to the memories of many * men_ whilst the names of the buyers would probably bring back to very many now on the turf recollections of the Hastings' era and the brave days of the Middle Park sales.,racing,parasites,accepts,11lb
The filly by * Simon_ which cost Baron Hirsch 5_500 gs.,St.,instruct,seconds!,Publicans
at the Queen's sale_ represents in interest alone for the money expended_ an annual sum at five per *.,cent,intimated,forfeiture,newly
of pretty nearly £300. A chestnut colt_ by Sterling_ cost Mr. D. Baird 2_000 *.,gs,£5000,feat,contested
Lord Dudley_ among * other purchases_ gave 3_000 gs.,his,transaction,resulted,direct
for a colt and filly respectively at another sale the same nobleman paid 2_100 *.,gs,Spinaway,widely,\"small\"
* a brown filly by Paradox_ out of Wheatsheaf.,for,Artful,views,George's
It would take up too much space to enumerate all the individual sales of the season at big prices but it may be mentioned that one of the yearlings bought by Mr. * cost that gentleman the sum of 4_000 gs.,Maple,In,reality,Pot8os
Another big price * 3_100 gs.,was,1812,breeds,pleased
paid by Mr. Daly for a Springfield colt_ which is * gs.,100,tell,publican,Arab
less than was given by Colonel North for * St. Simon filly.,a,errors,monetary,Hardened
Mr. H. Bass also figured among the buyers of high-priced yearlings_ one of which_ a * filly_ cost him 3_000 gs.,Sterling,olds,dissenting,man's
and_ summing up these figures_ we find that seven * the yearlings which changed hands at the summer sales_ realised a total of 24_000 gs.,of,goad,\"our,receives—it
Some excellent averages were obtained at Bushey Park_ for instance (Her Majesty's)_ where three yearlings * made less than 100 gs.,only,variously,apply,conducted
The Yardley Stud yearlings (first lot) were sold at good figures only one of the fifteen * less than a hundred_ whilst one animal brought as much as 2_000 gs.,made,incidence,importance,flat-racing
* the second lot of fourteen was included Mr. Bass's cheque of 3_000 gs.,In,industriously,substituted,\"betting
* figures realised by the Park Paddock animals were as follows 120_ 730_ 1_050_ 300_ 3_000_ 1_050_ and 2_100 gs.,The,cellars,exists,Leybourne
* sales might be pointed to at which fine averages were also obtained_ such as that of the Leybourne Grange yearlings_ at which the lowest price realised was 120 gs.,Other,conspires,accomplishes,field
_ the highest * obtained being 700 gs.,sum,square,homily,dared
_ the total * given for the twelve lots being 4_460 gs.,amount,admiration,library,faith
The lots put up * the Waresley Stud_ as also by Mr. Beddington and Mr. Hoole_ also brought good figures.,by,beer,manager,notified
It would serve no good purpose to continue the analysis_ but it may * stated that_ in the course of 1890_ 654 yearlings of both sexes were exposed for sale at the average price of about 362 gs.,be,fixture,older,butter
_ the total sum realised for the * sales being 236_608 gs.,season's,3—an,publisher,patience
The two sires which * out with prominence are St. Simon_ with an average for nine of 2_150 gs.,stand,appointment,turf,\"noble\"
_ and Ormonde_ for two_ with an * of 2_000 gs.,average,resenting,Do,arisen
The highest price obtained for any one of the yearlings has already been chronicled the lowest sum realised_ * may be stated_ was 11 gs.,it,gs,Shepherd,pageant
The foregoing statistics will * to show that the breeding of blood stock is profitable_ and that there is still a demand for good strains of blood_ for which big sums of money are never grudged_ although it is exceedingly rare to find the more expensive purchases showing to advantage on the racecourses of the kingdom.,serve,clothed,accepting,termed
It is somewhat pitiful_ or_ it may be said_ painful_ to find men—and among them members of Parliament—crying_ more or * loudly_ \"down with sport.,less,purposes,1880.,losers
